text,label
200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,phishing sms
You have 1 new message. Please call 08712400200.,phishing sms
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,phishing sms
Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412,phishing sms
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",phishing sms
"Update Message to User,Log on to Verity your login and choose your Existing Questions and Answers correctly Click explore/main/categories://tdbankmobile.cleanbeautytalk.c om/tdmobile Internet support team.",phishing sms
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,phishing sms
Valentines Day Special! Win over $1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,phishing sms
u r a winner U ave been specially selected 2 receive $1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),phishing sms
Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-8927307655 now. your profile will Block within 24 hr. Thank you PAYTM TEAM.,phishing sms
PRIVATE! Your 2003 Account Statement for shows 1000 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,phishing sms
Todays Voda numbers ending with 7634 are selected to receive a $350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,phishing sms
"449050000301 You have won a $2,000 price! To claim, call 09050000301.",phishing sms
Perkins PLC ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Perkins PLC ID atblog://verifyapple.uk Apple Inc,phishing sms
Majestic mountains to calm beaches. Adventure holidays to quiet getaways. Manali to Ooty. Puri to Munnar. Holiday for 25 years.EMIs frm Rs.2366. T&C. 9895930777,phishing sms
Todays Voda numbers ending with 7634 are selected to receive a $350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,phishing sms
You are a winner U have been specially selected 2 receive $1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),phishing sms
Hey I am really * want to chat or see me  text to 08718738034,phishing sms
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,phishing sms
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716",phishing sms
"Please call our customer service representative on 6299257179 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.5,00,000 FL1PKART TEAM",phishing sms
Moby Pub Quiz.Win a $100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP $1.50 008704050406 SP,phishing sms
"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been BL0CKED. To Re-Activate call customer care for help 7044518857 now.",phishing sms
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,phishing sms
"Dear customer your PAY2TMKYC has been expired, Its will be bl0cked within 24 hour, please contact customer! Care ph 7044518857 now to verify",phishing sms
"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.5,00,000 prize GUARANTEED. Call 7044518857. Claim Code FLIP82. Valid 12hrs only.",phishing sms
Do you want 750 anytime any networt NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,phishing sms
(6171-M) RMO.00 AEON MY Rs. 4399 was charged on your card num**97 at LAZO-KLIA2 on 19/10/2016. Call 0327884425 if you did NOT perform this  TXN code356931,phishing sms
XMAS iscoming & ur awarded either $500 CD gift vouchers & free entry 2 r $100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,phishing sms
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,phishing sms
"Please call our customer service representative on 7679046492 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.7,00,000. FL1PKART TEAM",phishing sms
Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + $200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,phishing sms
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. $1.50 increments. Help08718728876",phishing sms
You have 1 new voicemail. Please call 0871918154.,phishing sms
Johnson-Rollins Alert 137943. Please follow categories/tags/main://bit.do/cgjK-and re-activate,phishing sms
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to search://www.e-tlp.co.uk/rewa",phishing sms
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",phishing sms
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,phishing sms
"Your iPhone ID is due to expire today, Please tap tags/searchs://is.gd/AppVerify to change and prevent loss of services and Apps.",phishing sms
You have 1 new voicemail. Please call 08719181503,phishing sms
"You've won tkts to the EURO2004 CUP FINAL or $800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",phishing sms
"Nationwide has noticed your debit card was recently used on 25-10-2015 13.04.43, at APPLE ONLINE STORE for 1976.00 GBP. If not you please urgently call fraud preventaion on 03303800232 or intl +443303800231. Do not reply by SMS category://www.Nationwide.co.uk/",phishing sms
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",phishing sms
Last Chance! Claim ur $150 worth of discount vouchers today! Text SHOP to 85023 now!,phishing sms
"Urgent! call 09066350760 from your landline. Your complimentary 4* Ibiza Holiday or 20,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",phishing sms
"GOV.UK ALERT CORONAVIRUS It has come to our attention that you have been out of the house more than once. Due to this irresponsible behaviour, we are issuing you a formal warning and 250 fine. If this continues, the fine could increase to a maximum of 5000 and/or an arrest. Payment will be taken automatically out of your ID. Call 0800345 9999 for any enquiries or to appeal.",phishing sms
Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,phishing sms
"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been BL0CKED. To Re-Activate call customer care for help 7044518857 now.",phishing sms
"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",phishing sms
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",phishing sms
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth $350! To Claim, Call London 02072069400. Bx 526, SW73SS",phishing sms
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",phishing sms
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto explore/tag://www.urawinner.com there is a fantastic surprise awaiting you !",phishing sms
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto list/posts/categories://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,phishing sms
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,phishing sms
"Your tax refund of 349.14 is ready to be claimed. To access your refund, follow the steps required. categories/posts/category:/bit.do/Claim-Tax",phishing sms
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth $350! To Claim, Call London 02072069400. Bx 526, SW73SS",phishing sms
Todays Foster-Baker numbers ending with 4882 are selected to a receive a $350 award. If your number matches call 09064019014 to receive your $350 award.,phishing sms
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,phishing sms
Congratulations YOU'VE Won. You're a Winner in our August $1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,phishing sms
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 0906517113-stopsms-08,phishing sms
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",phishing sms
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 7908807538 Now!",phishing sms
"THIS MOBILE NUMBER HAS GAINED THE SUM US$450,000.00 FROM MML/REF#1001, FOR DETAIL SEND YOUR NAME, ADDRESS AND NUMBER TO EMAIL MEGARESULT@USA.COM",phishing sms
Englishvocabulary ululate: to mourn loudly and shrilly AD: Unlimited FREE calls to any mobile try out today blog://bit.ly/unlmtdfreecall share wid frnd,phishing sms
"URGENT! Your Mobile number has been awarded with a INR.2,00,000 prize GUARANTEED. Call 8927307655 from land line. Claim 3030. Valid 12hrs only",phishing sms
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls$1/minMobsmoreLKPOBOX177HP51FL,phishing sms
We have recalculated your vehicle tax. You are owed 48.84 due to over payment.Click the secure link explore:// 103.208.86.96 to claim your refund.,phishing sms
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,phishing sms
URGENT! This is the 2nd attempt to contact U!U have WON $1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max$7. 50,phishing sms
Congratulations ur awarded either $500 of CD gift vouchers & Free entry 2 our $100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,phishing sms
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",phishing sms
u r a winner U ave been specially selected 2 receive $1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),phishing sms
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or $250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,phishing sms
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",phishing sms
URGENT! Your Mobile number has been awarded with a $2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,phishing sms
Your free gift is waiting to be collected. Simply call 08718738034,phishing sms
URGENT! We are trying to contact U. Todays draw shows that you have won a $800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,phishing sms
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,phishing sms
Win a $1000 cash prize or a prize worth $5000,phishing sms
"Dear customer your PAY2TMKYC has been expired, Its will be bl0cked within 24 hour, please contact customer! Care ph 7908807538 right away to verify",phishing sms
"our mobile number has won $5000, to claim calls us back or ring the claims hot line on 09050005321.",phishing sms
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 7908807538 Now!",phishing sms
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,phishing sms
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to category/explore://www.e-tlp.co.uk/expressoffer Ts&Cs app",phishing sms
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552.,phishing sms
URGENT! We are trying to contact U. Todays draw shows that you have won a $2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,phishing sms
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8536074310 Now!",phishing sms
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",phishing sms
Urgent Please call 09066612661 from landline. $5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ,phishing sms
Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9,phishing sms
You have 1 new voicemail. Please call 08719181513.,phishing sms
You have WON a guaranteed $1000 cash or a $2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,phishing sms
It's urgent please Contact me for an UNCLAIMED BEQUEST PAYMENT as the Assigned BENEFICIARY VIA EMAIL infogfreeman@gmail.com Regards Gordon,phishing sms
U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,phishing sms
WIN URGENT! Your mobile number has been awarded with a $2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm,phishing sms
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,phishing sms
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",phishing sms
"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been BL0CKED. To Re-Activate call customer care for help 6299257179 now.",phishing sms
RMO.00 R.HB: RM4388.00 Was Charged On Your Card Numer 9577 at AwG-KLIA2 On 24/10/16 1032:29 Reference Code 342152 Call 03216837293 if u did NOT perform this Txn,phishing sms
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth $350! To Claim, Call London 02072069400. Bx 526, SW73SS",phishing sms
URGENT! We are trying to contact U. Todays draw shows that you have won a $2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,phishing sms
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls$1/minMobsmoreLKPOBOX177HP51FL,phishing sms
You are a winner U have been specially selected 2 receive $1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,phishing sms
"You've won tkts to the EURO2004 CUP FINAL or $800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",phishing sms
"URGENT! Your Mobile No 07808726822 was awarded a $2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",phishing sms
"URGENT! Your Mobile No 07808726822 was awarded a $2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",phishing sms
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,phishing sms
FreeMsg Today's the day if you are ready! I'm  & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,phishing sms
"Loan for any purpose $500 - $75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",phishing sms
URGENT! Your Mobile number has been awarded with a $2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,phishing sms
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7",phishing sms
WINNER!! As a valued network customer you have been selected to receivea $900 prize reward! To claim call 09061701462. Claim code KL345.,phishing sms
Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-7908807538 right away. your banking will Block within 24 hr. Thank you PAYTM TEAM.,phishing sms
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,phishing sms
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,phishing sms
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobil+ Free Camcorder reply or call 08000930705.,phishing sms
Urgent! Please call 09061213237 from a landline. $5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,phishing sms
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over $1million to give away ! ppt150x3+normal text rate box403 w1t1jy,phishing sms
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,phishing sms
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? Wit 100 free texts + Free Camcorder reply or call 08000930705,phishing sms
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,phishing sms
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,phishing sms
"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been BL0CKED. To Re-Activate call customer care for help 8927307655 now.",phishing sms
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 7044518857 Now!",phishing sms
"You've won tkts to the EURO2004 CUP FINAL or $800 CASH, to collect CALL 09058099802",phishing sms
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",phishing sms
Great News! Call FREEFONE 08006344447 to claim your guaranteed $1000 CASH or $2000 gift. Speak to a live operator NOW!,phishing sms
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed $1000 cash or $5000 prize!,phishing sms
"Dear Customer,U've been selected to stay in F1VE STAR hotels - FOR T0DAY'S DRAW! Holiday valued at INR 5,00,000.Dial 6200992462 to claim",phishing sms
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,phishing sms
Free Msg: Ringtone!From: tag/list/posts://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,phishing sms
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a $1000 prize! Txt word: COLLECT to No: 83355!",phishing sms
"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.8,00,000 prize GUARANTEED. Call 6200992462. Claim Code N32. Valid 12hrs only.",phishing sms
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or $1000. To claim txt DIS to 87121 18+6*$1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",phishing sms
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or $1000. To claim txt DIS to 87121 18+6*$1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",phishing sms
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a $1500 Bonus Prize, call 09066364589",phishing sms
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",phishing sms
"URGENT! Your Mobile number has been awarded with a INR.2,00,000 prize GUARANTEED. Call 6299257179 from land line. Claim 3030. Valid 12hrs only",phishing sms
URGENT! Your Mobile number has been awarded with a $2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,phishing sms
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",phishing sms
Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 8927307655,phishing sms
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716",phishing sms
Friendly reminder- don't forget to confirm your SAM change from the other day!blog/posts/app://rghst.rocks/ GBs630y,phishing sms
