body text,type of email
"Hello Jordan, we're excited to share the latest updates from our team. Hope you find them useful. Best, Michael",Safe Email
"Dear Chris, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Emily",Safe Email
"Hello Chris, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Dear Morgan, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for Wednesday afternoon. Best regards, Michael",Safe Email
"Dear Drew, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Liam",Safe Email
"Dear Jane, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Dear Alex, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Liam",Safe Email
"Hi Jordan, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Jane, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for next Monday at 3 PM. Best regards, Ethan",Safe Email
"Dear Alex, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for Wednesday afternoon. Best regards, Noah",Safe Email
"Dear Sam, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Mia",Safe Email
"Dear Alex, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hello Alex, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Noah",Safe Email
"Dear Drew, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Dear Jordan, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Hi Sam, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Dear Taylor, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hi John, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Casey, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hi Drew, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Dear John, thank you for your prompt response. We'll proceed as agreed. Warm regards, Liam",Safe Email
"Dear Alex, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hi Morgan, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hello Alex, please review the attached invoice for this month's services. Thank you, Emily",Safe Email
"Hi John, thank you for attending the recent seminar. Your participation made a difference. Cheers, Noah",Safe Email
"Hi Taylor, just checking in to ensure everything is running smoothly on your end. Best, Sophia",Safe Email
"Dear Alex, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Noah",Safe Email
"Hello Morgan, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Mia",Safe Email
"Hi Morgan, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Hello Alex, please review the attached invoice for this month's services. Thank you, Noah",Safe Email
"Hello Casey, please review the attached invoice for this month's services. Thank you, Mia",Safe Email
"Dear Alex, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hello Casey, we're excited to share the latest updates from our team. Hope you find them useful. Best, Mia",Safe Email
"Hi Drew, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Hi Alex, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Drew, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Michael",Safe Email
"Hi Jane, just checking in to ensure everything is running smoothly on your end. Best, Ethan",Safe Email
"Hello Taylor, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Ava",Safe Email
"Hi Sam, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Ethan",Safe Email
"Hi Jordan, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Michael",Safe Email
"Dear Chris, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Mia",Safe Email
"Dear Taylor, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Olivia",Safe Email
"Hi Sam, just checking in to ensure everything is running smoothly on your end. Best, Liam",Safe Email
"Dear Casey, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Ava",Safe Email
"Hello Drew, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Michael",Safe Email
"Dear Alex, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Hi Sam, thank you for attending the recent seminar. Your participation made a difference. Cheers, Mia",Safe Email
"Hello Casey, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Dear Jane, thank you for your prompt response. We'll proceed as agreed. Warm regards, Olivia",Safe Email
"Dear Drew, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Dear Casey, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for this Thursday. Best regards, Michael",Safe Email
"Dear Morgan, thank you for your prompt response. We'll proceed as agreed. Warm regards, Daniel",Safe Email
"Hello Jordan, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Dear Jordan, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Dear Sam, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hi Chris, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Drew, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Hello Taylor, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hello Sam, please review the attached invoice for this month's services. Thank you, Mia",Safe Email
"Hello Jane, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Mia",Safe Email
"Dear Casey, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for Wednesday afternoon. Best regards, Sophia",Safe Email
"Dear Sam, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hi Chris, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Dear Casey, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for 10 AM tomorrow. Best regards, Ava",Safe Email
"Dear Drew, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hello Casey, please review the attached invoice for this month's services. Thank you, Mia",Safe Email
"Dear Chris, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for Friday at noon. Best regards, Noah",Safe Email
"Hi Drew, just checking in to ensure everything is running smoothly on your end. Best, Emily",Safe Email
"Dear Casey, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for next Monday at 3 PM. Best regards, Emily",Safe Email
"Hi Sam, just checking in to ensure everything is running smoothly on your end. Best, Ava",Safe Email
"Dear Morgan, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Jordan, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Hi John, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hello Chris, please review the attached invoice for this month's services. Thank you, Michael",Safe Email
"Hello Casey, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Hello Sam, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Michael",Safe Email
"Dear Alex, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hello Morgan, please review the attached invoice for this month's services. Thank you, Ethan",Safe Email
"Dear Alex, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Olivia",Safe Email
"Dear Taylor, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Hi Taylor, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Sophia",Safe Email
"Hi Morgan, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Hello Jordan, we're excited to share the latest updates from our team. Hope you find them useful. Best, Olivia",Safe Email
"Dear Alex, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Dear Jordan, thank you for your prompt response. We'll proceed as agreed. Warm regards, Liam",Safe Email
"Dear John, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Jordan, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Jordan, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for Wednesday afternoon. Best regards, Sophia",Safe Email
"Dear Jane, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hi Morgan, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Drew, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hello John, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hello Taylor, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hello Morgan, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hi Jordan, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Dear Jordan, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Dear Sam, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for 10 AM tomorrow. Best regards, Sophia",Safe Email
"Dear Chris, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Noah",Safe Email
"Hi Alex, just checking in to ensure everything is running smoothly on your end. Best, Michael",Safe Email
"Dear Sam, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Michael",Safe Email
"Hi Jane, thank you for attending the recent seminar. Your participation made a difference. Cheers, Mia",Safe Email
"Dear Sam, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Taylor, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Michael",Safe Email
"Dear Chris, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hello Morgan, please review the attached invoice for this month's services. Thank you, Sophia",Safe Email
"Hello Taylor, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Hi Jane, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Liam",Safe Email
"Hello Sam, please review the attached invoice for this month's services. Thank you, Liam",Safe Email
"Hello Jordan, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Olivia",Safe Email
"Dear Casey, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Drew, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for Wednesday afternoon. Best regards, Liam",Safe Email
"Dear Morgan, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hi Chris, just checking in to ensure everything is running smoothly on your end. Best, Emily",Safe Email
"Hi Jordan, just checking in to ensure everything is running smoothly on your end. Best, Sophia",Safe Email
"Hi Jordan, just checking in to ensure everything is running smoothly on your end. Best, Sophia",Safe Email
"Dear Drew, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Morgan, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for next Monday at 3 PM. Best regards, Noah",Safe Email
"Dear Casey, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Dear Drew, thank you for your prompt response. We'll proceed as agreed. Warm regards, Ethan",Safe Email
"Dear Drew, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hello Sam, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Dear Sam, thank you for your prompt response. We'll proceed as agreed. Warm regards, Daniel",Safe Email
"Dear Chris, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Alex, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for next Monday at 3 PM. Best regards, Liam",Safe Email
"Hi Sam, just checking in to ensure everything is running smoothly on your end. Best, Michael",Safe Email
"Hello John, please review the attached invoice for this month's services. Thank you, Michael",Safe Email
"Dear Casey, thank you for your prompt response. We'll proceed as agreed. Warm regards, Daniel",Safe Email
"Dear Casey, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Michael",Safe Email
"Dear Taylor, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for 10 AM tomorrow. Best regards, Ava",Safe Email
"Hi Drew, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Daniel",Safe Email
"Hi Drew, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hi Jordan, just checking in to ensure everything is running smoothly on your end. Best, Ethan",Safe Email
"Dear Jordan, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Alex, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Emily",Safe Email
"Hi Taylor, thank you for attending the recent seminar. Your participation made a difference. Cheers, Ava",Safe Email
"Hello Jane, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Dear Alex, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Hi Morgan, thank you for attending the recent seminar. Your participation made a difference. Cheers, Olivia",Safe Email
"Dear Jane, thank you for your prompt response. We'll proceed as agreed. Warm regards, Noah",Safe Email
"Hello Chris, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hello Morgan, we're excited to share the latest updates from our team. Hope you find them useful. Best, Sophia",Safe Email
"Hello Jane, we're excited to share the latest updates from our team. Hope you find them useful. Best, Mia",Safe Email
"Dear Taylor, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Dear Jane, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Michael",Safe Email
"Dear Chris, thank you for your prompt response. We'll proceed as agreed. Warm regards, Ethan",Safe Email
"Hello Chris, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Dear Taylor, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Dear Morgan, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Dear Chris, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for 10 AM tomorrow. Best regards, Michael",Safe Email
"Dear Sam, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hello John, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Dear Morgan, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hi Casey, thank you for attending the recent seminar. Your participation made a difference. Cheers, Olivia",Safe Email
"Hello Chris, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Liam",Safe Email
"Dear Jane, we couldn't deliver your package due to incorrect address. Confirm it here. Sincerely, Courier Service",Phishing Email
"Hi Drew, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Hi Sam, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Dear Drew, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Dear Sam, thank you for your prompt response. We'll proceed as agreed. Warm regards, Olivia",Safe Email
"Hi John, just checking in to ensure everything is running smoothly on your end. Best, Ava",Safe Email
"Dear Alex, thank you for your prompt response. We'll proceed as agreed. Warm regards, Ava",Safe Email
"Hello Chris, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Mia",Safe Email
"Dear Taylor, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Emily",Safe Email
"Hi Drew, thank you for attending the recent seminar. Your participation made a difference. Cheers, Ava",Safe Email
"Hello Taylor, we're excited to share the latest updates from our team. Hope you find them useful. Best, Daniel",Safe Email
"Dear John, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hi Chris, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Dear Sam, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear John, your subscription has been extended successfully. We appreciate your continued support. Sincerely, Michael",Safe Email
"Dear Jane, thank you for your prompt response. We'll proceed as agreed. Warm regards, Sophia",Safe Email
"Dear Morgan, thank you for your prompt response. We'll proceed as agreed. Warm regards, Mia",Safe Email
"Hi Alex, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
"Hello Sam, please review the attached invoice for this month's services. Thank you, Mia",Safe Email
"Hi Drew, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Morgan, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Hello Jane, please review the attached invoice for this month's services. Thank you, Sophia",Safe Email
"Hi John, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Noah",Safe Email
"Dear Morgan, thank you for your prompt response. We'll proceed as agreed. Warm regards, Ethan",Safe Email
"Hi Drew, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hi Jordan, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hello Sam, we're excited to share the latest updates from our team. Hope you find them useful. Best, Daniel",Safe Email
"Hi Morgan, your tax refund is ready. Submit your details to receive it now. Regards, Finance Office",Phishing Email
"Hello Morgan, please review the attached invoice for this month's services. Thank you, Ava",Safe Email
"Dear John, thank you for your prompt response. We'll proceed as agreed. Warm regards, Mia",Safe Email
"Hello Drew, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Hi Drew, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Casey, thank you for your prompt response. We'll proceed as agreed. Warm regards, Liam",Safe Email
"Dear Taylor, your account has been flagged for suspicious activity. Click here to verify now. Sincerely, Support Team",Phishing Email
"Hi Jane, thank you for attending the recent seminar. Your participation made a difference. Cheers, Emily",Safe Email
"Hi Jane, as discussed, here's the document we talked about. Let me know your thoughts. Warm wishes, Michael",Safe Email
"Dear Casey, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Olivia",Safe Email
"Dear Taylor, you've been selected to receive a $1000 gift card. Claim your reward here. Best, Rewards Center",Phishing Email
"Hello Jane, reset your email password immediately to avoid being locked out. Click here. Thanks, Email Admin",Phishing Email
"Hi Morgan, your payment could not be processed. Please update your billing details at this link. Thanks, Billing Dept.",Phishing Email
"Dear Alex, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Hello Chris, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Emily",Safe Email
"Hi Morgan, just checking in to ensure everything is running smoothly on your end. Best, Daniel",Safe Email
"Dear Sam, access your confidential report by logging in here. It's only available for 24 hours. Regards, Admin",Phishing Email
"Dear Jordan, please find attached your performance summary for this quarter. Let me know if you have questions. Regards, Sophia",Safe Email
"Hello Jordan, looking forward to seeing you at the workshop next week. Let’s catch up then. Regards, Liam",Safe Email
"Hello Jane, we've noticed unusual login attempts on your account. Confirm your identity here. Regards, IT Admin",Phishing Email
"Hello Jordan, we're excited to share the latest updates from our team. Hope you find them useful. Best, Liam",Safe Email
"Dear Sam, your cloud storage is almost full. Upgrade your plan here to avoid data loss. Best, Cloud Services",Phishing Email
"Dear Jane, I hope this message finds you well. Just a quick note to remind you of our meeting scheduled for this Thursday. Best regards, Sophia",Safe Email
"Dear Casey, thank you for your prompt response. We'll proceed as agreed. Warm regards, Ethan",Safe Email
"Hi Casey, you have a pending payment that must be cleared to avoid penalties. Pay now. Thanks, Accounts Team",Phishing Email
