Email Text,Email Type
"Alert: New login from Russia detected. Is this you?",Phishing Email
"Let me know when you’re free to discuss the product roadmap.",Safe Email
"You have 1 unread fax from your insurance provider.",Phishing Email
"Thanks for submitting your goals for this quarter!",Safe Email
"Immediate action required: Suspicious account access detected.",Phishing Email
"Hi Josh, looping in legal for review on the updated NDA draft.",Safe Email
"Fraudulent activity detected. Please log in to secure your bank account.",Phishing Email
"Hey team, we’ll be doing a system maintenance test at 6 PM today.",Safe Email
"Verify your account now to avoid service restrictions.",Phishing Email
"Here are the action items from this morning's stand-up.",Safe Email
"Suspicious activity detected on your credit card ending in 3921.",Phishing Email
"Let’s finalize the Q1 hiring plan during next Tuesday’s call.",Safe Email
"Alert: Your Microsoft account is compromised. Take immediate action.",Phishing Email
"Don’t forget to RSVP for next week’s leadership forum.",Safe Email
"Unauthorized payment attempt blocked. Review now.",Phishing Email
"Nice work on getting the new features deployed before the deadline!",Safe Email
"Update your billing information to prevent service interruption.",Phishing Email
"Please review and sign off on the attached contract addendum.",Safe Email
"Your mailbox has exceeded the allowed quota. Login to resolve.",Phishing Email
"Friendly reminder: the design critique session is tomorrow at 11 AM.",Safe Email
"You have 2 undelivered messages waiting for verification.",Phishing Email
"Thanks for attending the all-hands. Attached are the slides.",Safe Email
"Important security alert: Someone tried to reset your password.",Phishing Email
"Let’s meet in Conference Room A instead of Zoom tomorrow.",Safe Email
"You’ve been selected for a rewards survey. Complete it to earn a $100 card.",Phishing Email
"Hi Angela, just confirming the lunch order for the board meeting.",Safe Email
"Immediate verification required: unusual login attempt identified.",Phishing Email
"Please review and approve your PTO request by EOD.",Safe Email
"Click here to confirm your recent account activity.",Phishing Email
"Hi Claire, looping you in on the logistics email thread.",Safe Email
"Your parcel cannot be delivered. Enter your details to reschedule.",Phishing Email
"Here’s the final list of invitees for the client mixer.",Safe Email
"Failure to respond will result in data loss. Act now.",Phishing Email
"Awesome job on the marketing deck—client is very happy!",Safe Email
"Confirm your billing address to avoid package returns.",Phishing Email
"Hi Max, I’ve shared access to the shared drive folder.",Safe Email
"Your data usage has exceeded limits. Upgrade your plan today.",Phishing Email
"Let’s regroup on Monday to plan the product rollout.",Safe Email
"Reset your banking credentials to regain access.",Phishing Email
"Please find attached the updated press kit for distribution.",Safe Email
"We could not verify your device. Log in to confirm identity.",Phishing Email
"Reminder: New employee orientation is this Friday at 9 AM.",Safe Email
"Complete your profile to avoid account suspension.",Phishing Email
"Hi Megan, thanks for reviewing the draft investor update.",Safe Email
"Security Update: Suspicious device detected in your account.",Phishing Email
"Thanks for submitting your expense report!",Safe Email
"Immediate login required: Your account will be frozen soon.",Phishing Email
"Here's the contact list for next week's offsite.",Safe Email
"You’ve won a reward from our loyalty program. Click to claim.",Phishing Email
"Please RSVP for the Friday workshop before noon tomorrow.",Safe Email
"Your recent transaction has failed. Update payment info now.",Phishing Email
"Attached are the new team OKRs for Q3.",Safe Email
"Dear user, confirm your account to prevent termination.",Phishing Email
"Here’s the link to tomorrow’s product walkthrough call.",Safe Email
"Warning: Someone is trying to access your cloud drive.",Phishing Email
"Hey Sean, are you free for a quick sync after lunch?",Safe Email
"One-time password request received. Click here to verify.",Phishing Email
"Attached is the approved creative brief for next quarter.",Safe Email
"Claim your reward before it expires. Limited time offer!",Phishing Email
"Let’s finalize headcount for the retreat during today’s call.",Safe Email
"Unverified logins detected. Please confirm recent activity.",Phishing Email
"Team, amazing job launching the new microsite!",Safe Email
"Last chance to secure your exclusive reward. Click now.",Phishing Email
"Thanks for reviewing the draft agenda.",Safe Email
"We need more information to process your account upgrade.",Phishing Email
"Here’s the sign-in sheet for today's training session.",Safe Email
"You have pending documents in your e-signature queue.",Phishing Email
"Reminder: Please complete your annual training modules.",Safe Email
"Suspicious charge from foreign IP. Confirm now.",Phishing Email
"Hi Priya, the creative team finished the new concept art—see attached.",Safe Email
"Unauthorized download attempt reported. Confirm identity.",Phishing Email
"Meeting notes from today’s cross-functional sync are attached.",Safe Email
"Click here to protect your email account from suspicious activity.",Phishing Email
"Looking forward to your presentation at the town hall!",Safe Email
"Update your credentials to keep using your account.",Phishing Email
"See attached checklist for conference booth setup.",Safe Email
"Dear user, we've temporarily suspended your profile. Reactivate now.",Phishing Email
"Hi Maria, thanks for managing the client feedback loop so smoothly.",Safe Email
"Last step: Click to unlock your full account access.",Phishing Email
"New feature release notes are in the shared folder.",Safe Email
"System alert: Critical update required for continued access.",Phishing Email
"Thanks for confirming attendance at the leadership dinner.",Safe Email
"Please enter your details to verify account ownership.",Phishing Email
"Can we reschedule the feedback session to next Tuesday?",Safe Email
"Your credentials have been compromised. Take action now.",Phishing Email
"Attached are the results of the most recent internal survey.",Safe Email
"You have 24 hours to respond or your account will be deactivated.",Phishing Email
"Hey team, can someone double-check the email campaign stats?",Safe Email
"We couldn’t process your last transaction. Click here to retry.",Phishing Email
"Just a heads up—cafeteria will be closed tomorrow for maintenance.",Safe Email
"Unusual login alert. Reset your account now.",Phishing Email
"Hi Jordan, here’s a recap of today’s creative review session.",Safe Email
"You’ve reached your account’s storage capacity. Upgrade to continue.",Phishing Email
"Please check and approve the attached social post calendar.",Safe Email
"Warning: Someone attempted to change your account password.",Phishing Email
"Good morning! Attached is your weekly briefing.",Safe Email
"Unauthorized login detected on your financial account.",Phishing Email
"Reminder: Benefits enrollment closes this Friday.",Safe Email
"Action needed: Your account security settings are outdated.",Phishing Email
"Thanks for helping out with the Q&A panel today!",Safe Email
"Verify recent changes to your user profile.",Phishing Email
"Hi Avery, I’ve uploaded the latest product mockups.",Safe Email
"Confirm your credentials to keep your inbox active.",Phishing Email
"Don’t forget to review and accept the Q4 objectives.",Safe Email
"Alert: System scan flagged your profile for suspicious activity.",Phishing Email
"Hey Jamal, forwarding you the new vendor quote.",Safe Email
"Last warning: click here to avoid data breach.",Phishing Email
"Quick update: team standup has moved to 9:30 AM.",Safe Email
"Click to confirm your recent password change request.",Phishing Email
"Hi Monica, just following up on the invoice from last week.",Safe Email
"Your credit card has been declined. Update payment info now.",Phishing Email
"Thanks for updating the campaign metrics so quickly!",Safe Email
"Your subscription has expired. Click here to reactivate.",Phishing Email
"Here are the edits I made to the draft proposal—let me know your thoughts.",Safe Email
"Multiple failed login attempts detected. Reset your password now.",Phishing Email
"Reminder: Please approve the vendor agreement by EOD.",Safe Email
"Immediate account verification required due to policy changes.",Phishing Email
"Attached is the updated floor plan for the conference layout.",Safe Email
"Confirm account activity or your profile will be deactivated.",Phishing Email
"Hey Alex, can you double-check the dates in the schedule?",Safe Email
"Alert: Unrecognized device signed in from a new location.",Phishing Email
"Please find the Q2 results attached. Feedback is welcome.",Safe Email
"Click now to restore your email access.",Phishing Email
"Thanks for your help reviewing the contract changes.",Safe Email
"You have a pending refund. Submit your information to receive it.",Phishing Email
"Hi Katie, I've added your comments to the project plan.",Safe Email
"Unusual account access detected. Secure your credentials.",Phishing Email
"Looking forward to seeing everyone at the team outing this Friday!",Safe Email
"Security notice: Confirm your ID to prevent suspension.",Phishing Email
"Attached is the timeline for the upcoming redesign project.",Safe Email
"Your email has been flagged for suspicious behavior. Review now.",Phishing Email
"Hi Ben, great presentation today—very engaging!",Safe Email
"You must verify your account to avoid automatic closure.",Phishing Email
"Please add these deliverables to the project tracker.",Safe Email
"Login now to prevent your email from being permanently disabled.",Phishing Email
"Just looping in finance for final invoice approval.",Safe Email
"Act now to keep your subscription active.",Phishing Email
"Hi team, sharing the key takeaways from this morning's training.",Safe Email
"System alert: Your email was accessed by a third party.",Phishing Email
"Let’s review the campaign brief before sending to the client.",Safe Email
"Reset your account settings to secure your profile.",Phishing Email
"Friendly reminder: Quarterly reports are due tomorrow.",Safe Email
"Your login credentials were exposed in a data leak. Change them now.",Phishing Email
"Thanks again for organizing the onboarding session!",Safe Email
"Your account is being reviewed due to suspicious login patterns.",Phishing Email
"Please proof the event invite before we publish it.",Safe Email
"You’ve won a $500 cash prize. Claim now.",Phishing Email
"Team, please welcome our new intern, Maya!",Safe Email
"Your Dropbox files are being deleted. Recover access now.",Phishing Email
"Hi Sam, confirming your panel spot at next month’s conference.",Safe Email
"Suspicious behavior was detected on your account. Log in to secure it.",Phishing Email
"Here's the draft of the annual report—comments welcome.",Safe Email
"You must update your information to retain access.",Phishing Email
"Nice work on the design sprint this week—great progress!",Safe Email
"You have unread encrypted messages. Click here to view.",Phishing Email
"Reminder: Office will be closed Monday for the holiday.",Safe Email
"Security alert: Unusual network activity flagged on your account.",Phishing Email
"Attached is the guest list for the holiday event.",Safe Email
"Reset your credentials now to avoid data loss.",Phishing Email
"Hi team, don't forget to submit your peer reviews this week.",Safe Email
"We detected login attempts from a suspicious device.",Phishing Email
"Hey Nina, looping in Alex to help with the tech setup.",Safe Email
"Unusual behavior triggered our automated lockdown. Unlock here.",Phishing Email
"Here's the final version of the brand guidelines document.",Safe Email
"Act quickly: We’re unable to verify your identity.",Phishing Email
"Appreciate everyone’s efforts getting the update live on time.",Safe Email
"Click here to restore full access to your secure folder.",Phishing Email
"Let’s align on the campaign messaging during Monday’s sync.",Safe Email
"Your rewards points are about to expire. Redeem now.",Phishing Email
"Hi John, attached is the updated version of the sales sheet.",Safe Email
"Confirm your login to prevent your account from being locked.",Phishing Email
"Please confirm your attendance for tomorrow’s strategy session.",Safe Email
"You’ve received a secure document. Click to unlock.",Phishing Email
"Here’s the Zoom link for next week's onboarding session.",Safe Email
"You were selected to receive a $250 eGift card.",Phishing Email
"Friendly reminder: today’s standup is at 10:00 AM instead of 9:30.",Safe Email
"Failure to validate account ownership will result in closure.",Phishing Email
"Here’s a summary of our quarterly metrics and wins—great work team!",Safe Email
"You must review your billing history to keep services active.",Phishing Email
"Attached is the updated travel itinerary for the conference trip.",Safe Email
"One last step: Confirm your account before expiration.",Phishing Email
"Reminder: Please submit questions for tomorrow’s panel.",Safe Email
"Alert: We’ve suspended your account for security purposes.",Phishing Email
"Hey Sam, thanks again for covering my shift yesterday!",Safe Email
"Action required: An unknown user accessed your profile.",Phishing Email
"Hi Alyssa, your slide deck for Thursday’s talk is attached.",Safe Email
"Click to validate recent password change activity.",Phishing Email
"Check out the new company perks listed in the portal.",Safe Email
"Immediate attention needed: suspicious file download detected.",Phishing Email
"Let’s finalize Q3 goals during our Friday check-in.",Safe Email
"Multiple login attempts detected from unrecognized device.",Phishing Email
"Thanks for joining the fireside chat today!",Safe Email
"Warning: Suspicious download activity was found on your profile.",Phishing Email
"Hi team, see attached notes from our workshop last week.",Safe Email
"Login immediately to avoid service interruption.",Phishing Email
"Here's a preview of the rebranding assets for review.",Safe Email
"Reset now to maintain full account access.",Phishing Email
"Great collaboration on this campaign rollout—cheers to the team!",Safe Email
"An unknown party has attempted to change your password.",Phishing Email
"Just wanted to say congrats on hitting your Q2 targets!",Safe Email
"You must verify your credentials to continue receiving messages.",Phishing Email
"Please review the attached supplier comparison chart.",Safe Email
"Urgent notice: We've restricted your email access.",Phishing Email
"Hi Ray, looping you in on the client onboarding notes.",Safe Email
"We couldn’t deliver your last email. Click here to resend.",Phishing Email
"See the attached spreadsheet for the new leads.",Safe Email
"Suspicious billing changes were made. Verify to undo.",Phishing Email
"Thanks for helping with the team workshop logistics!",Safe Email
"Unlock your bonus offer by confirming your details.",Phishing Email
"Here’s the latest update from the product development team.",Safe Email
"Review your login activity or risk being locked out.",Phishing Email
"Hi Marcus, here’s the final Q1 wrap-up deck for your review.",Safe Email
"Your system credentials have expired. Click to renew.",Phishing Email
"Reminder: Submit your travel expense form by Friday.",Safe Email
"Someone attempted to access your account. Take action now.",Phishing Email
"Hey team, lunch has been moved to 12:30—see you there!",Safe Email
"Login immediately to keep your files from being deleted.",Phishing Email
"Attached is the performance dashboard for March.",Safe Email
"Critical action required: We've noticed unauthorized access.",Phishing Email
"Don’t forget to sign up for next week's volunteer event.",Safe Email
"Verify your account ownership to maintain email access.",Phishing Email
"Hi Rachel, I’ve updated the team’s weekly status tracker.",Safe Email
"Your profile information appears to be incorrect. Click here to verify.",Phishing Email
"Great work pushing the update to production last night!",Safe Email
"You must verify your identity or lose access to your inbox.",Phishing Email
"Please confirm your shipping preferences before noon tomorrow.",Safe Email
"Security alert: Password reset request made from unknown device.",Phishing Email
"Let’s meet in Room 3C for this afternoon’s review session.",Safe Email
"You’ve received a confidential file. Download to continue.",Phishing Email
"Just circling back on the rebranding color palette you proposed.",Safe Email
"Update your email recovery information now.",Phishing Email
"Thanks for attending our internal AMA—great questions today.",Safe Email
"Unrecognized device signed in from a new location.",Phishing Email
"Here’s a copy of the finalized training schedule.",Safe Email
"Your file storage limit has been reached. Click to increase.",Phishing Email
"Hi Ava, thanks for confirming attendance for the investor roundtable.",Safe Email
"Action needed: Confirm your billing information now.",Phishing Email
"Welcome to the dev team, Julia! Excited to have you here.",Safe Email
"New browser login detected. Please validate immediately.",Phishing Email
"Check the shared folder for updated creative assets.",Safe Email
"Your access has been limited due to suspicious behavior.",Phishing Email
"Let’s plan the launch timeline during Tuesday’s call.",Safe Email
"Critical system alert: Verify identity to regain access.",Phishing Email
"Hey team, attached are the talking points for Thursday’s town hall.",Safe Email
"Suspicious behavior detected. Change your password now.",Phishing Email
"Just updated the client list in the CRM—take a look.",Safe Email
"Update your credentials to continue using our platform.",Phishing Email
"Hi Kate, looping you in on the social campaign results.",Safe Email
"Unusual login location flagged. Confirm or reset password.",Phishing Email
"Thanks again for your help during onboarding week!",Safe Email
"Account error: Profile flagged for suspicious access.",Phishing Email
"Please approve the newsletter copy by EOD.",Safe Email
"Security check required to maintain account access.",Phishing Email
"Reminder: Quarterly survey closes this Friday.",Safe Email
"Suspicious download activity reported on your account.",Phishing Email
"Sharing updated meeting notes from this morning’s check-in.",Safe Email
"Click to complete your security verification.",Phishing Email
"Let’s meet at 3 PM to go over campaign results.",Safe Email
"Account flagged: unusual login patterns detected.",Phishing Email
"Hi Olivia, attached is the data sheet for the vendor review.",Safe Email
"Email verification required within 24 hours.",Phishing Email
"Thanks again for joining the internal product demo.",Safe Email
"Your inbox access will be limited unless verified.",Phishing Email
"Hey Jordan, I dropped the final logo files in the shared drive.",Safe Email
"Failure to act will result in permanent data deletion.",Phishing Email
"Just confirming we’re still on for the client meeting at 2.",Safe Email
"Reset your password to avoid unauthorized access.",Phishing Email
"Hi Mel, here’s the expense policy update you requested.",Safe Email
"Protect your account from recent threats—click here.",Phishing Email
"Please RSVP for the lunch & learn next Wednesday.",Safe Email
"You have pending security issues. Resolve them now.",Phishing Email
"Sharing the link to today’s webinar recording.",Safe Email
"Suspicious sign-in attempt detected. Locking account.",Phishing Email
"Team, please fill in your weekly goals by end of day.",Safe Email
"Unverified login from foreign IP address—secure account.",Phishing Email
"Thanks for finalizing the wireframe layout!",Safe Email
"Critical alert: email integrity compromised. Act now.",Phishing Email
"Attached is the document checklist for audit prep.",Safe Email
"You’ve reached your data limit. Pay now to continue access.",Phishing Email
"Let’s connect on Slack for the website bug list.",Safe Email
"You must authenticate your account to avoid restrictions.",Phishing Email
"Reminder: HR compliance training deadline is next Tuesday.",Safe Email
"You’ve earned a $100 reward. Click to redeem.",Phishing Email
"Hi Darren, I uploaded the investor call recording to Drive.",Safe Email
"Update your verification settings or lose access.",Phishing Email
"Just flagging a typo in the project roadmap doc.",Safe Email
"Unauthorized change detected. Confirm identity now.",Phishing Email
"Please send over your slides for tomorrow’s briefing.",Safe Email
"Click here to activate enhanced protection features.",Phishing Email
"Your performance review feedback form is now available.",Safe Email
"Suspicious email activity detected. Click to confirm.",Phishing Email
"Hi Taylor, thanks for taking notes at the leadership sync.",Safe Email
"You’ve exceeded your mailbox size limit. Clear storage now.",Phishing Email
"Don’t forget to join the Friday coffee catch-up.",Safe Email
"Your online profile was accessed from a new location.",Phishing Email
"Just shared the event checklist with the whole team.",Safe Email
"Email deactivation in progress. Cancel it now.",Phishing Email
"Thanks again for helping coordinate the client event.",Safe Email
"Confirm account ownership to lift current restrictions.",Phishing Email
"Attached is the updated recruiting brochure.",Safe Email
"Failure to log in will suspend your credentials.",Phishing Email
"Hi team, reminder to submit nominations for team awards.",Safe Email
"System flagged your login history. Review activity.",Phishing Email
"Let’s finalize deliverables during today’s sync.",Safe Email
"Password change required to meet security standards.",Phishing Email
"Please sign the updated employee handbook.",Safe Email
"Click to validate your credentials and prevent lockout.",Phishing Email
"Hey Jen, looping you in on the feedback from legal.",Safe Email
"New password request initiated. Confirm identity.",Phishing Email
"Reminder: Complete your quarterly goal check-in by Thursday.",Safe Email
"Immediate login required: suspicious attempt detected.",Phishing Email
"Hi Zoe, just shared the updated customer personas deck.",Safe Email
"Click now to stop account suspension.",Phishing Email
"Thanks for joining the Q&A session—lots of great insights!",Safe Email
"Security alert: unknown device connected to your network.",Phishing Email
"Here’s the updated campaign tracking sheet.",Safe Email
"Final warning: account flagged for fraud review.",Phishing Email
"Let’s push the meeting to 4 PM—conflict at 3.",Safe Email
"Action required: password validation pending.",Phishing Email
"Hey Chris, I added your comments to the design doc.",Safe Email
"You must secure your account now to prevent unauthorized access.",Phishing Email
"Attached is the revised version of the investor pitch deck.",Safe Email
"Update your credentials immediately to restore access.",Phishing Email
"Looking forward to your session at the summit!",Safe Email
"Critical alert: recovery info outdated. Update now.",Phishing Email
"Hi Aaron, the budget spreadsheet is now live in the folder.",Safe Email
"Your personal information was compromised. Secure it now.",Phishing Email
"Don’t forget to check out the HR policy update.",Safe Email
"Unusual login pattern detected. Click to verify.",Phishing Email
"Please confirm the print order for next week’s event.",Safe Email
"Click to restore your full email access now.",Phishing Email
"Thanks for catching that typo in the release notes!",Safe Email
"Last chance to secure your inbox. Act now.",Phishing Email
"Reminder: Send in your availability for next month’s sprint planning.",Safe Email
"You’ve received a confidential document. Open securely here.",Phishing Email
"Hi Maria, looping in the vendor for asset delivery timeline.",Safe Email
"Suspicious change in login habits. Secure account.",Phishing Email
"Please review attached comments from the legal team.",Safe Email
"Account under review. Verify to regain full functionality.",Phishing Email
"Sharing the updated mockups for homepage redesign.",Safe Email
"Account locked due to suspicious login activity.",Phishing Email
"Reminder: Strategy workshop is scheduled for 11 AM tomorrow.",Safe Email
"You have 1 unread secure message—click to open.",Phishing Email
"Hi Nate, can we add this topic to Monday’s agenda?",Safe Email
"You’ve received a secure access alert. Click to confirm.",Phishing Email
"Great job on the product roadmap presentation!",Safe Email
"Confirm device activity to retain access privileges.",Phishing Email
"Thanks for submitting your goals for this review cycle.",Safe Email
"Unverified login attempt blocked. Verify now.",Phishing Email
"Hey Jamie, uploaded the finalized press release to the folder.",Safe Email
"Click here to activate multi-layer protection on your profile.",Phishing Email
"Reminder: DEI training registration closes this Friday.",Safe Email
"Suspicious device detected in your profile. Lock it down now.",Phishing Email
"Let’s regroup after lunch to align on launch deliverables.",Safe Email
"Unusual behavior noticed in your browsing patterns.",Phishing Email
"Attached are the top-line metrics from last quarter.",Safe Email
"You’ve exceeded your mailbox limit. Upgrade now.",Phishing Email
"Hi Claire, sharing updated onboarding resources with the team.",Safe Email
"Immediate response needed: unknown login flagged.",Phishing Email
"Nice work pushing the prototype to staging ahead of schedule!",Safe Email
"Profile access restricted. Restore identity here.",Phishing Email
"Please upload the signed contract by the end of the day.",Safe Email
"Your login session has expired. Reauthenticate now.",Phishing Email
"Hi Leah, added your edits to the QBR slide deck.",Safe Email
"Critical alert: password reset required immediately.",Phishing Email
"Sharing the latest press clippings for media coverage report.",Safe Email
"You’ve triggered a security event. Confirm if this was you.",Phishing Email
"Let’s align on the final script before Thursday’s webinar.",Safe Email
"Final notice: credentials expire in 12 hours.",Phishing Email
"Thanks again for speaking on yesterday’s webinar!",Safe Email
"Unusual access activity detected. Locking for safety.",Phishing Email
"Here’s the master list of approved vendors.",Safe Email
"Click now to confirm identity and unlock your profile.",Phishing Email
"Hey team, pushing our check-in to 11:30 due to conflict.",Safe Email
"Your password expires today. Update now to continue.",Phishing Email
"Friendly reminder: lunch & learn is tomorrow at noon.",Safe Email
"Suspicious activity reported from your account location.",Phishing Email
"Hi Ava, your expense report has been approved.",Safe Email
"Login required to maintain mailbox integrity.",Phishing Email
"Let’s do a quick sync before tomorrow’s client review.",Safe Email
"Validate account activity to restore functionality.",Phishing Email
"Attached is the final version of the promotional flyer.",Safe Email
"You’re at risk of losing access. Update security info.",Phishing Email
"Thanks for being flexible on the scheduling change!",Safe Email
"Action needed: account under compliance check.",Phishing Email
"Hi Mason, looping you into the editorial timeline thread.",Safe Email
"Unrecognized sign-in attempt flagged. Confirm now.",Phishing Email
"Reminder: Submit your bio for the panelist page by Friday.",Safe Email
"Secure your inbox to avoid suspension.",Phishing Email
"Check the shared doc for this week’s social calendar.",Safe Email
"You’ve reached the maximum number of login attempts.",Phishing Email
"Looking forward to our collab on the client deck!",Safe Email
"Last step: click to verify account recovery settings.",Phishing Email
"Please confirm slide order before we finalize the deck.",Safe Email
"Your credentials were exposed in a security incident.",Phishing Email
"Hi Jen, attached is your travel confirmation for the conference.",Safe Email
"Verify account now or risk restricted functionality.",Phishing Email
"Thanks for updating the contact info for all vendors.",Safe Email
"Failure to confirm will result in lost access.",Phishing Email
"Let’s push our weekly sync to Friday at 1 PM.",Safe Email
"Click here to secure your login session.",Phishing Email
"Here’s a link to the updated employee directory.",Safe Email
"You have unauthorized changes in your profile. Click to confirm.",Phishing Email
"Hi team, see attached notes from the product walk-through.",Safe Email
"Critical warning: account flagged for unusual behavior.",Phishing Email
"Appreciate everyone’s help during the internal audit.",Safe Email
"Log in to review flagged activity on your account.",Phishing Email
"Just sent over the catering order for your review.",Safe Email
"Unauthorized login detected. Secure your account immediately.",Phishing Email
"Reminder: Customer feedback meeting is at 2 PM sharp.",Safe Email
"Your account has been flagged for suspicious access attempts.",Phishing Email
"Hi Dana, the creative team uploaded the new branding files.",Safe Email
"Click here to avoid permanent loss of access.",Phishing Email
"Thanks for your thoughtful feedback on the hiring process!",Safe Email
"You’ve exceeded your mailbox limit. Clean up required.",Phishing Email
